Name,Enrollment No.,Gender,Contact,City,PEM,DM,OS,COA,OOPJ
aarti,180280116485,f,874-542-3170,Ahmedabad,23,53,56,24,21
बबीता,180280116486,f,542-135-3105,Bhavnagar,58,44,67,62,36
seema saini,180280116487,f,636-080-4566,Surat,68,65,61,64,66
sandeep,180280116488,m,476-030-3447,Amreli,40,29,55,52,59
jisaan,180280116489,m,759-192-1893,Bhavnagar,43,21,50,22,26
vijay kumar,180280116490,m,946-802-7414,Gandhinagar,25,59,27,48,65
rehaan,180280116491,m,152-858-8173,Ahmedabad,38,45,29,30,56
sumaila,180280116492,f,824-512-5813,Surat,20,69,21,20,40
beragi singh,180280116493,m,884-187-0262,Amreli,62,61,70,69,64
ashok pandey,180280116494,m,367-634-3990,Vadodara,54,15,25,36,66
dildar khan,180280116495,m,546-619-7663,Amreli,24,18,24,63,17
saroj,180280116496,f,388-719-4471,Rajkot,62,59,54,44,69
divya,180280116497,f,697-445-8787,Gandhinagar,63,50,31,37,51
nadir,180280116498,m,743-705-2655,Bhavnagar,63,65,64,68,67
gora,180280116499,f,790-371-6326,Amreli,20,32,58,53,62
dinesh kumar,180280116500,m,457-484-0220,Bhavnagar,15,54,18,30,26
tarannum,180280116501,f,491-129-1915,Gandhinagar,58,21,27,45,23
paramdeep kaur,180280116502,f,711-835-7890,Bhuj,17,19,33,30,15
shobha,180280116503,f,878-006-0646,Bhuj,28,66,32,45,67
balraj singh,180280116504,m,357-741-8238,Rajkot,25,48,29,29,57
smt sarita davi,180280116505,f,404-411-9602,Vadodara,62,45,28,70,27
ravina,180280116506,f,196-508-1801,Rajkot,70,62,44,47,22
virender,180280116507,m,171-408-2562,Vadodara,57,25,40,34,43
sonia,180280116508,f,746-007-7697,Vadodara,48,65,66,45,36
katwa,180280116509,m,156-283-1764,Surat,15,24,21,34,46
neeraj,180280116510,f,359-662-9102,Surat,44,69,39,53,43
sushela devi,180280116511,f,178-458-6601,Vadodara,49,56,16,59,59
prmod paswan,180280116512,m,657-333-7264,Rajkot,64,62,63,68,62
मुकेश,180280116513,m,712-150-7083,Ahmedabad,47,42,25,34,47
jawahar singh,180280116514,m,952-852-8663,Bhuj,39,47,29,15,18
seeta,180280116515,f,149-091-8907,Bhavnagar,35,52,70,40,29
nishant,180280116516,m,963-141-2240,Surat,63,67,62,64,65
ritu,180280116517,f,183-519-6723,Bhuj,24,45,47,53,24
shashi bhusan,180280116518,m,283-125-8293,Ahmedabad,55,46,55,54,60
mithun kumar,180280116519,m,527-305-4095,Rajkot,17,29,15,61,70
pitar topo,180280116520,m,747-785-8524,Vadodara,66,70,65,65,66
sunil,180280116521,m,791-703-0604,Gandhinagar,70,62,65,66,61
phool kuwar ,180280116522,m,461-747-4205,Ahmedabad,67,63,63,62,64
neetu,180280116523,f,823-001-7515,Bhuj,39,55,57,22,16
rajlaxmi,180280116524,f,479-861-2187,Ahmedabad,56,69,58,21,46
ramesh,180280116525,m,984-209-7642,Amreli,53,20,53,64,60
nishant@ chintu,180280116526,m,801-144-2112,Surat,49,54,20,26,34
ram bhajan,180280116527,m,516-831-9049,Gandhinagar,67,40,59,54,31
neelam,180280116528,f,800-339-8256,Bhuj,59,36,58,52,42
raju,180280116529,m,491-514-6317,Vadodara,17,32,54,47,15
sonyi,180280116530,f,627-437-4976,Surat,55,28,55,32,34
pinky,180280116531,f,366-087-7536,Vadodara,62,69,66,60,68
kamlesh,180280116532,m,742-315-7261,Rajkot,70,66,65,61,62
rasab,180280116533,m,815-816-0512,Ahmedabad,65,68,62,67,64
rekha varhat`,180280116534,f,769-854-9436,Rajkot,69,66,58,60,19
rashmi,180280116535,f,435-060-7705,Gandhinagar,15,34,40,36,55
rekha devi,180280116536,f,314-577-0085,Bhuj,54,32,56,39,56
mohd. aslam,180280116537,m,378-610-7252,Surat,46,15,58,41,28
kiran kaur,180280116538,f,992-070-6837,Surat,43,51,66,64,55
silpi kumari,180280116539,f,927-697-7814,Ahmedabad,65,52,46,54,55
guljan,180280116540,f,941-706-2688,Vadodara,68,64,62,68,70
sikha,180280116541,f,382-800-2778,Bhavnagar,62,66,67,67,67
sarik,180280116542,m,576-195-2769,Amreli,61,62,70,66,68
anil singh kushwah,180280116543,m,825-163-7203,Bhavnagar,24,47,44,47,47
smt. reena,180280116544,f,594-592-7472,Bhavnagar,69,31,37,53,47
mamraj sharma s/o genda lal sharma,180280116545,m,177-564-3367,Rajkot,27,40,55,18,31
meenu,180280116546,f,334-842-5560,Vadodara,25,24,46,15,20
luv kumar,180280116547,m,357-017-9166,Rajkot,45,59,46,54,44
pooja,180280116548,f,960-182-0455,Gandhinagar,29,63,28,22,20
punit,180280116549,m,142-636-4098,Ahmedabad,19,54,50,50,55
ram charan,180280116550,m,908-435-1464,Vadodara,18,51,61,55,33
vishal,180280116551,m,766-123-4771,Ahmedabad,69,65,60,69,66
gurmeet,180280116552,f,766-190-0590,Bhuj,21,67,40,17,60
neeraj kumar,180280116553,m,962-698-0868,Vadodara,23,17,16,25,49
ravinder kumar,180280116554,m,126-531-0603,Bhuj,48,58,57,47,64
reenu,180280116555,f,646-888-2705,Vadodara,63,67,63,66,66
mohd. salim,180280116556,m,982-403-7435,Ahmedabad,69,64,70,68,67
rantesh,180280116557,m,897-434-3430,Bhuj,52,34,34,15,24
meethu,180280116558,f,809-595-7287,Bhavnagar,19,54,56,67,16
mrs. nidhi,180280116559,f,622-211-7172,Gandhinagar,69,62,68,65,68
krishan,180280116560,m,865-190-2975,Surat,62,64,67,62,60
diksha gupta,180280116561,f,606-813-3048,Amreli,56,21,17,51,41
beauty,180280116562,f,575-249-3105,Vadodara,53,64,38,43,30
bimlesh,180280116563,f,506-550-3780,Surat,33,25,39,20,29
ranu,180280116564,f,861-550-1215,Amreli,20,27,66,20,22
ramesh babu,180280116565,m,849-611-5167,Bhavnagar,18,64,65,31,38
aarif,180280116566,m,489-220-4103,Amreli,24,58,15,32,40
amar nath,180280116567,m,751-120-2666,Surat,65,65,70,69,67
vimla,180280116568,f,117-746-7470,Gandhinagar,51,42,33,64,56
akansh anand,180280116569,m,109-683-9884,Amreli,60,33,36,57,30
munna kumar @ pankaj,180280116570,m,557-307-3688,Ahmedabad,21,25,40,30,17
sangeeta,180280116571,f,980-651-0599,Bhavnagar,34,65,70,61,55
majid ansari,180280116572,m,250-554-7058,Bhuj,69,67,60,61,69
tanvir ahmad,180280116573,m,652-042-3526,Bhavnagar,59,44,58,28,42
rohit,180280116574,m,506-289-8498,Gandhinagar,63,64,70,70,69
mukesh kumar,180280116575,m,530-843-0895,Vadodara,69,61,67,61,66
nitesh,180280116576,m,662-011-5264,Vadodara,65,61,63,61,67
jakra khatoon,180280116577,f,902-618-6371,Amreli,69,66,60,62,67
mansi,180280116578,f,499-460-9783,Vadodara,41,28,27,45,19
smt sushma,180280116579,f,541-470-6567,Bhavnagar,20,36,18,34,56
roshni kumari,180280116580,f,758-295-2287,Ahmedabad,23,47,62,20,42
pankaj mishra,180280116581,m,129-632-6242,Amreli,31,37,69,53,35
kiran,180280116582,f,104-414-4537,Amreli,19,39,54,32,64
tanveer,180280116583,m,398-161-6605,Bhavnagar,66,65,61,60,67
deepak sharma,180280116584,m,931-296-6175,Ahmedabad,17,15,50,24,35
anoop singh patwal,180280116585,m,709-582-5422,Amreli,24,20,40,39,20
smt rani devi,180280116586,f,332-181-9170,Bhavnagar,27,25,39,39,47
shashi,180280116587,f,687-875-7885,Vadodara,59,24,26,51,30
suman,180280116588,f,728-882-8175,Vadodara,70,15,54,25,52
dama  rajanna,180280116589,m,588-820-7147,Vadodara,64,35,31,38,24
gopi devi,180280116590,f,727-551-6455,Amreli,61,69,38,33,45
kumari mheraj,180280116591,f,110-606-3375,Gandhinagar,15,65,55,51,58
puja,180280116592,f,413-273-9720,Bhavnagar,24,25,56,53,58
tek chand ,180280116593,m,745-502-0580,Bhuj,48,46,49,70,35
mnoj sethi,180280116594,m,286-488-5724,Rajkot,17,40,64,19,45
bacche singh,180280116595,m,797-630-7012,Bhavnagar,70,33,43,69,36
prince verma,180280116596,m,896-264-0360,Rajkot,44,57,69,46,40
suman,180280116597,f,107-562-3344,Vadodara,38,57,47,15,16
rohit,180280116598,m,552-177-8520,Gandhinagar,19,64,48,25,64
pavan kumar sharma,180280116599,m,367-527-6926,Bhavnagar,18,31,29,48,17
meera,180280116600,f,691-681-6700,Ahmedabad,56,19,39,54,59
sumitra bai,180280116601,f,527-662-3475,Rajkot,47,39,44,49,65
seema das,180280116602,f,593-853-3128,Ahmedabad,70,60,68,61,63
smt mamta harijan,180280116603,f,551-091-8771,Rajkot,44,70,39,64,25
